"filename", "language", "JSON with Comments", "TypeScript", "Shell Script", "JSON", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\examples\ContainerIntegrationExample.ts", "TypeScript", 0, 213, 0, 0, 0, 0, 0, 70, 59, 342
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\examples\PhaserGameObjectExample.ts", "TypeScript", 0, 130, 0, 0, 0, 0, 0, 46, 37, 213
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\index.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 14, 14, 78
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\ILegacyUnit.ts", "TypeScript", 0, 244, 0, 0, 0, 0, 0, 108, 63, 415
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\IPhaserUnitContext.ts", "TypeScript", 0, 185, 0, 0, 0, 0, 0, 66, 29, 280
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\IPositionUnit.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 53, 13, 84
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\IRandomValue.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 18, 2, 34
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\IScaleUnit.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 58, 14, 90
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\ISizeUnit.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 48, 12, 77
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\IStrategyInput.ts", "TypeScript", 0, 317, 0, 0, 0, 0, 0, 99, 62, 478
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\ITemplateInput.ts", "TypeScript", 0, 164, 0, 0, 0, 0, 0, 83, 48, 295
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\IUnit.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 60, 16, 114
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\IUnitConfig.ts", "TypeScript", 0, 105, 0, 0, 0, 0, 0, 57, 30, 192
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\IValidationInput.ts", "TypeScript", 0, 253, 0, 0, 0, 0, 0, 124, 57, 434
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\strategy\IPositionStrategyInput.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 34, 22, 104
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\strategy\IScaleStrategyInput.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 32, 20, 84
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\strategy\ISizeStrategyInput.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 34, 22, 104
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\strategy\IStrategyInput.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 32, 20, 106
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\interfaces\strategy\index.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 8, 7, 39
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\managers\CommandManager.ts", "TypeScript", 0, 175, 0, 0, 0, 0, 0, 58, 43, 276
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\managers\ObserverManager.ts", "TypeScript", 0, 155, 0, 0, 0, 0, 0, 48, 27, 230
"d:\Works\source\phaser-repositories\njs-game-unit-module\old_src\src\managers\PerformanceManager.ts", "TypeScript", 0, 218, 0, 0, 0, 0, 0, 65, 49, 332
